target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
1,449,30,283,290,382,274,107,276,173,177,135,53,119,200,265,90
10,1714,115,1084,1113,1356,1011,369,1895,427,431,487,124,404,708,1029,487
11,1775,124,1121,1147,1361,1045,386,2059,430,427,500,119,422,744,1062,504
12,1705,116,1063,1098,1300,994,364,1892,413,429,475,115,404,709,1007,466
13,1835,133,1172,1206,1419,1076,406,2188,452,420,536,102,442,791,1118,536
14,1641,102,994,1025,1245,933,342,1767,399,360,444,98,377,662,940,420
15,1745,118,1078,1109,1293,1016,376,1937,415,419,476,104,413,715,1013,484
16,1653,110,1019,1053,1269,950,351,1806,402,382,453,121,386,673,962,433
17,1759,124,1096,1132,1380,1024,386,1977,422,391,503,133,416,756,1054,495
18,1661,110,1030,1067,1313,960,355,1865,408,409,460,96,392,686,975,442
19,1707,122,1091,1125,1357,1005,374,1986,417,415,491,110,410,734,1033,475
1,652,35,366,375,511,354,135,444,204,218,161,68,148,244,343,113
20,1667,108,1024,1049,1224,955,354,1835,400,408,462,120,391,689,970,436
2,496,38,432,308,1082,281,189,319,183,200,319,54,275,290,280,132
3,1842,126,373,382,1431,354,395,444,206,213,163,68,425,757,346,513
4,1829,122,1120,1152,1427,1022,376,2064,442,406,487,68,408,730,1069,485
5,1823,124,1112,1127,1401,1026,390,2116,273,286,506,97,421,759,485,491
6,1855,137,1195,1235,1466,1102,403,2187,468,373,529,110,444,783,1136,554
7,1869,142,1201,1235,1459,1109,410,2268,461,447,541,94,446,809,1143,559
10,1714,115,1084,1113,1356,1011,369,1895,427,431,487,124,404,708,1029,487
9,1796,127,1148,1171,1385,1054,397,2121,440,447,509,105,433,766,1105,513
