target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,420,32,272,281,369,270,102,274,169,169,128,46,115,194,255,87
10,1579,91,916,932,1202,841,316,1588,370,261,401,108,352,605,877,344
11,1749,115,1038,1129,1378,971,378,2006,417,424,454,93,413,678,1031,452
12,1602,99,958,989,1221,883,326,1670,377,381,422,92,359,628,904,394
13,1682,111,1026,1064,1276,963,354,1842,401,416,461,99,390,688,972,453
14,1658,102,990,1029,1208,927,330,1705,391,406,425,110,366,639,941,420
15,1673,108,1019,1057,1284,946,347,1851,408,416,451,95,385,677,964,438
16,1653,110,1020,1056,1238,945,348,1847,402,248,447,97,386,673,960,437
17,1647,104,994,1029,1250,923,345,1750,393,410,440,98,377,654,936,420
16,1653,110,1020,1056,1238,945,348,1847,402,248,447,97,386,673,960,437
19,1607,102,964,997,1238,897,334,1719,385,390,428,116,366,644,910,402
1,410,32,272,274,341,263,101,254,167,180,131,49,114,189,247,85
20,1625,99,977,1000,1217,907,340,1753,386,406,443,122,378,670,924,414
2,484,34,314,321,444,305,114,338,185,189,143,51,129,213,298,95
2026_03_27_1,440,34,279,281,353,265,104,277,174,189,132,50,115,191,254,88
4,1868,131,1154,1192,1419,1053,391,2216,453,449,502,83,419,752,1121,513
5,1633,92,884,868,1186,276,307,1552,184,202,385,53,333,227,870,96
6,1923,130,1148,1190,1356,1127,380,2046,451,467,554,101,420,742,1086,520
7,1829,125,1118,1157,1413,976,383,2144,442,238,491,67,409,740,1081,489
8,1743,119,1090,1125,1374,1007,370,1987,426,425,476,96,406,731,1032,487
9,1837,131,1148,1192,1458,1060,396,2208,447,453,527,90,435,788,1096,533
