csv_name,PH,Brix,L*,a*,b*,C*,ho
70_20_7.csv,4.04,18.1,70.02,-4.59,53.28,53.38,94.93
70_0_8.csv,4.06,17.5,70.93,-13.59,61.07,62.57,102.54
70_1_8.csv,4.03,17.4,69.41,-14.3,60.54,62.21,103.29
70_2_8.csv,4.04,17.6,69.66,-14.53,61.35,63.04,103.32
70_3_8.csv,4.03,17.6,69.49,-13.3,60.23,61.68,102.45
70_4_8.csv,4.03,17.7,68.82,-13.3,60.67,62.11,102.36
70_5_8.csv,4.02,17.6,70.28,-10.76,62,62.92,99.84
70_6_8.csv,4.05,17.5,71.72,-10.4,63.51,64.35,99.3
70_7_8.csv,4.07,17.7,72.23,-8.75,54.63,55.32,99.1
70_8_8.csv,4.05,17.8,70.64,-9.92,53.95,54.92,101.24
70_9_8.csv,4.03,17.9,70.93,-7.01,55.6,56.04,97.19
70_10_8.csv,4.05,17.8,71.02,-6.59,54.95,55.35,96.84
70_11_8.csv,4.05,17.9,70.04,-7.12,56.27,56.71,97.21
70_12_8.csv,4.04,17.9,69.95,-6.41,55.78,56.15,96.56
70_13_8.csv,4.02,17.8,71.1,-5.3,52.24,52.51,95.79
70_14_8.csv,4.09,17.9,70.26,-5.13,51.37,51.63,95.7
70_15_8.csv,4.04,18,69.37,-4.77,54.45,54.66,95.01
70_16_8.csv,4.04,18,68.98,-6.73,54.81,55.22,97
70_17_8.csv,4.05,17.9,67.76,-4.74,53.85,54.06,95.03
70_18_8.csv,4.04,18,67.67,-4.5,53.77,53.95,94.79
70_19_8.csv,4.03,18,69.25,-3.62,55.53,55.65,93.73
70_20_8.csv,4.02,18.1,69.47,-4.94,55.29,55.51,95.11
80_0_1.csv,3.88,16,74.21,-14.83,63.19,83.19,97.42
80_1_1.csv,3.87,16,72.05,-14.99,62.42,83.15,97.6
80_2_1.csv,3.89,16,73.29,-14.16,62.17,82.17,97.05
80_3_1.csv,3.94,16,74.45,-13.59,57.03,77.62,97.07
80_4_1.csv,3.89,16,73.7,-12.27,52.73,73.2,96.49
80_5_1.csv,3.91,16,74.49,-11.47,52.08,73.08,95.87
80_6_1.csv,3.85,16,73.6,-10.65,57.3,67.62,95.65
80_7_1.csv,3.92,15.5,73.3,-9.11,56.8,67.21,96.56
80_8_1.csv,3.9,15.2,73.14,-8.3,55.21,65.62,96.38
80_9_1.csv,3.91,15.1,73.44,-8.48,55.88,66.42,96.84
80_10_1.csv,3.91,15.5,73.68,-7.32,56.73,67.13,96.26
80_11_1.csv,3.91,15.3,73.35,-5.64,55.52,65.77,94.92
80_12_1.csv,3.93,15.5,73.14,-5.56,56.2,66.43,94.8
80_13_1.csv,3.91,15.6,73.48,-6.74,56.56,66.9,95.78
80_14_1.csv,3.9,15,74.41,-6.47,54.79,66.07,95.27
80_15_1.csv,3.93,15.5,72.52,-6.96,53.52,68.85,95.41
80_16_1.csv,3.94,15.8,71.5,-7.94,58.45,68.85,95.78
80_17_1.csv,3.94,15.6,72.84,-7.7,59.52,70.88,95.46
80_18_1.csv,3.96,16,74.74,-7.37,60.72,71.06,95.22
80_19_1.csv,3.95,15.6,74.59,-7.82,59.11,73.47,95.37
80_20_1.csv,3.99,15.6,75.99,-8.24,61.64,72.05,95.76
80_0_2.csv,3.9,16,74.23,-14.44,63.79,84.57,97.77
80_1_2.csv,3.88,16,72.53,-14.18,63.26,84.26,97.65
80_2_2.csv,3.9,16,72.99,-13.16,59.39,84,96.95
80_3_2.csv,3.92,16,74.49,-12.64,56.69,77.3,97.17
80_4_2.csv,3.91,16,73.55,-11.22,52.49,72.95,96.47
80_5_2.csv,3.89,16,74.47,-10.68,51.8,72.21,96.11
80_6_2.csv,3.88,16,73.64,-8.63,51.49,67.81,95.61
80_7_2.csv,3.91,15.5,73.33,-7.66,51.75,67.16,96.52
80_8_2.csv,3.91,15.2,73.14,-7.42,52.41,66.82,96.38
80_9_2.csv,3.88,15.3,73.24,-8.39,51.83,66.36,96.76
80_10_2.csv,3.93,15.5,73.71,-7.44,52.36,66.78,96.4
80_11_2.csv,3.9,15.3,73.44,-5.93,53.66,66.93,95.09
80_12_2.csv,3.92,15.6,73.56,-5.74,52.93,67.17,94.9
80_13_2.csv,3.88,15.6,73.62,-6.56,53.86,67.18,95.61
80_14_2.csv,3.91,15.7,74.46,-6.08,54.99,65.27,95.34
80_15_2.csv,3.98,15.5,72.44,-6.77,53.74,67.05,95.25
80_16_2.csv,3.99,15.6,71.3,-8.22,58.05,68.48,96.01
80_17_2.csv,3.99,15.7,72.83,-7.69,60.35,70.72,95.47
80_18_2.csv,3.99,15.6,73.76,-7.4,61.65,71.98,95.18
80_19_2.csv,3.99,15.6,75.25,-7.79,61.67,72.04,95.45
80_20_2.csv,3.99,15.8,75.85,-8.19,52.16,72.57,96.69
80_0_3.csv,3.86,16,73.79,-14.25,62.95,83.71,97.73
80_1_3.csv,3.87,16,73.12,-14.02,64.19,84.91,97.46
80_2_3.csv,3.9,16,73.27,-13.42,62.31,82.96,97.22
80_3_3.csv,3.96,16,73.58,-11.56,57.33,77.92,97.05
80_4_3.csv,3.9,16,73.52,-10.03,53.58,74.02,96.22
80_5_3.csv,3.9,16,74.32,-8.29,53.29,73.65,95.68
80_6_3.csv,3.88,16,73.77,-7.54,53.8,68.12,95.51
80_7_3.csv,3.89,15,73.13,-7.42,51.12,68.53,96.65
80_8_3.csv,3.85,15.2,73.01,-7.32,56.85,67.25,96.25
80_9_3.csv,3.91,15,73.07,-8.33,56.48,67,96.65
80_10_3.csv,3.89,15.5,73.12,-7.24,55.73,66.13,96.28
80_11_3.csv,3.9,15.5,73.34,-5.79,56.33,66.57,94.99
80_12_3.csv,3.88,15.8,73.75,-5.77,56.95,67.2,94.93
80_13_3.csv,3.87,15.6,73.53,-6.77,56.78,67.12,95.79
80_14_3.csv,3.89,15.5,74.91,-6.59,54.46,68.8,95.83
80_15_3.csv,3.97,15.3,71.49,-6.75,53.96,67.27,95.22
80_16_3.csv,3.95,15.6,71.04,-8.26,58.01,68.45,96.04
80_17_3.csv,3.97,15.6,72.66,-7.63,59.9,70.27,95.46
80_18_3.csv,3.97,15.7,74.31,-7.52,60.81,73.15,95.19
80_19_3.csv,3.96,15.6,75.21,-7.78,62.05,72.42,95.42
80_20_3.csv,3.97,15.6,75.84,-8.22,61.8,71.21,95.74
80_0_4.csv,3.84,16,73.71,-13.39,63.1,83.74,97.13
80_1_4.csv,3.88,16,71.99,-14.72,60.12,80.98,98.32
80_2_4.csv,3.88,16,73.19,-14.09,61.22,81.97,97.77
80_3_4.csv,3.89,16,73.02,-13.36,59.2,79.88,97.45
80_4_4.csv,3.82,15.8,73.39,-11.23,58.29,78.78,96.87
80_5_4.csv,3.87,15.8,73,-8.67,53.62,76.04,96.29
80_6_4.csv,3.86,16,73.32,-6.39,51.07,75.36,95.14
80_7_4.csv,3.87,16,72.51,-4.64,55.02,75.14,93.16
80_8_4.csv,3.89,16,72.53,-5.03,53.27,73.44,93.93
80_9_4.csv,3.9,15.9,73.33,-4.86,54.91,75.07,93.71
80_10_4.csv,3.95,15.8,73.4,-5.79,54.87,75.09,94.42
80_11_4.csv,3.94,15.9,73.26,-5.46,53.52,73.72,94.24
80_12_4.csv,3.96,16.1,72.12,-5.37,52.31,72.51,94.25
80_13_4.csv,3.95,16.1,72.98,-5.72,51.61,71.84,94.56
80_14_4.csv,3.91,15.9,72.28,-5.26,55.05,65.13,92.87
80_15_4.csv,3.94,16,72.09,-4.69,55.92,69.92,93.85
80_16_4.csv,3.93,16.1,72.61,-7.27,53.28,73.64,95.66
80_17_4.csv,3.91,16.1,72.03,-5.26,57.38,77.56,93.89
80_18_4.csv,3.92,15.9,73.06,-4.35,54.26,74.38,95.35
80_19_4.csv,3.91,16.2,73.31,-4.97,56.56,73.72,93.86
80_20_4.csv,3.9,16.1,74.19,-5.94,55.3,75.53,94.51
80_0_5.csv,3.89,16,76.12,-14.73,64.94,85.94,97.87
80_1_5.csv,3.91,15.8,75.49,-14.6,63.57,85.36,97.81
80_2_5.csv,3.98,15.8,74.63,-14.85,63.82,84.65,98.05
