target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,455,29,284,289,385,273,106,283,176,196,138,45,117,200,262,90
10,1826,114,1100,1150,1420,1041,380,2077,434,475,494,104,410,738,1057,520
11,1663,98,985,1022,1269,930,341,1782,393,422,442,115,375,659,932,431
12,1709,95,995,1036,1327,945,341,1856,396,429,445,110,372,666,953,443
13,1614,100,960,1001,1286,898,342,1804,386,429,420,114,374,670,907,426
14,1740,99,1007,1054,1353,971,349,1864,399,422,458,104,372,686,973,441
13,1614,100,960,1001,1286,898,342,1804,386,429,420,114,374,670,907,426
16,1806,61,1073,1114,1392,1020,367,2023,420,453,475,103,403,728,1024,503
17,1623,95,968,1003,1215,909,331,1734,389,430,427,109,358,637,921,406
18,1701,104,1026,1069,1293,970,352,1858,407,461,459,128,386,682,973,462
19,1635,98,958,997,1189,880,326,1758,384,417,422,102,359,634,910,395
1,472,101,290,302,384,275,110,287,175,188,140,48,118,208,276,94
20,1690,104,1004,1062,1234,936,341,1865,400,446,440,127,381,662,977,457
2,498,35,293,303,1552,280,105,310,182,198,136,48,117,200,273,95
3,1824,121,1120,1168,1381,1051,378,2034,449,485,493,68,411,744,1067,513
4,1896,124,1175,1224,1444,1050,393,2180,469,482,505,75,426,791,1109,513
5,1874,124,1162,1212,1408,1087,395,2169,465,480,537,85,437,789,1107,552
6,1887,122,1156,1195,1467,1090,393,2206,447,498,523,80,411,775,1109,565
7,1812,117,1145,1195,1459,1016,395,2163,446,485,525,95,430,783,1046,534
8,1860,113,1119,1145,1369,1038,369,2023,436,474,506,110,402,722,1070,512
9,1771,108,1054,1100,1374,979,359,1954,419,470,482,104,404,726,1004,455
»ùÏß,462,32,274,281,381,266,105,281,175,198,135,45,116,195,261,86
