target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,413,29,247,254,364,242,100,256,175,203,130,43,111,191,233,89
10,1800,106,1069,1125,1336,1004,355,1940,430,496,465,80,385,696,1012,489
11,1729,107,1063,1118,1309,991,354,1893,420,479,460,95,386,743,1024,469
12,1722,99,1008,1053,1306,950,344,1862,410,457,444,115,373,668,967,464
13,1693,99,1008,1054,1339,942,341,1837,404,443,442,90,377,664,960,446
14,1698,88,967,1007,1284,921,326,1793,387,363,426,85,360,638,930,438
15,1694,105,1019,1056,1279,944,346,1837,406,458,447,119,381,675,972,454
16,1688,93,959,1006,1248,909,328,1800,385,419,431,101,358,641,923,429
17,1675,91,967,1014,1206,916,339,1801,386,442,432,95,368,620,932,434
18,1645,97,976,1024,1312,903,324,1718,399,458,423,80,357,637,923,464
19,1696,102,1000,1046,1310,934,344,1842,399,420,447,101,377,667,951,447
1,514,30,292,300,415,283,109,307,175,190,140,60,121,207,272,96
20,1617,86,897,937,1236,858,312,1683,369,420,402,99,344,619,865,390
2,1826,99,1038,250,1422,957,346,2021,429,193,455,40,375,693,1016,492
3,1896,116,1135,1172,1484,1062,383,2195,447,509,502,70,412,748,1097,549
4,1893,110,1119,1168,1450,1062,378,2148,469,553,499,86,413,760,1082,559
5,1909,122,1166,1205,1442,1066,395,2262,462,513,518,94,440,807,1103,601
6,1841,106,1091,1149,1378,1031,359,1991,439,495,468,76,396,720,1041,504
7,1839,102,486,1168,1422,1053,387,2132,445,513,505,122,422,762,1072,545
8,1764,94,1002,1039,1363,943,337,1864,411,455,445,79,372,673,954,464
9,1807,106,1083,1127,1386,1015,373,2057,429,487,484,109,403,733,1023,502
»ùÏß,386,23,217,212,362,220,100,237,173,177,130,48,110,190,205,88
