target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,462,32,260,267,390,261,102,285,171,170,133,55,118,197,247,86
10,1774,118,1099,1145,1337,1021,376,1977,433,467,489,130,413,728,1047,499
11,1811,131,1183,1208,1381,1077,392,2116,455,481,517,124,433,769,1105,535
12,1674,104,1020,1063,1285,968,349,1863,404,430,451,122,385,671,968,453
13,1721,111,1075,1111,1324,997,372,1924,420,428,482,137,407,718,1018,487
14,1669,108,1013,1052,1282,942,346,1801,400,349,446,101,383,673,959,438
15,1749,115,1067,1103,1275,1002,362,1980,414,451,485,128,413,727,1023,483
16,1701,101,998,988,1327,950,345,1870,386,413,448,109,382,670,950,434
19,1841,115,1085,1125,1318,1025,366,1976,428,435,473,84,401,706,1028,478
18,1603,102,976,1013,1190,912,333,1665,385,411,424,92,365,638,924,405
19,1841,115,1085,1125,1318,1025,366,1976,428,435,473,84,401,706,1028,478
1,454,32,290,294,1363,275,109,280,178,191,137,63,116,199,266,92
20,1573,96,933,972,1173,878,323,1640,373,364,419,111,356,619,887,388
2,492,33,281,286,344,263,104,300,179,188,134,54,116,191,261,88
3,1862,124,1174,1221,1411,1089,395,2167,458,428,530,74,437,784,1114,546
4,1841,129,1157,1275,1531,1084,418,2363,473,490,562,67,444,747,1171,527
5,1943,139,1250,1271,1507,1152,423,2356,485,450,564,85,462,838,1163,620
6,1835,130,1197,1253,1388,1111,391,2104,464,505,514,90,431,769,1143,544
7,1833,130,1178,1227,1398,1091,401,2153,463,496,528,119,442,779,1118,550
8,1905,129,1195,1244,1300,1106,366,2288,453,483,476,131,406,710,1115,495
9,1506,81,812,847,1158,766,289,1419,347,366,351,96,311,531,829,304
