train_loss,data_loss,physics_loss,val_loss
78.53515625,78.53515625,1.4110805857114883e-08,85.17192077636719
74.372314453125,74.372314453125,1.475106330417475e-07,81.04300689697266
70.56441497802734,70.56441497802734,2.786169090995827e-07,77.35882568359375
67.1745834350586,67.1745834350586,2.1355579349346954e-07,74.07830047607422
64.16328430175781,64.16328430175781,1.5645517237317108e-07,71.15658569335938
61.487552642822266,61.487552642822266,1.1083573525638712e-07,68.53145599365234
59.08881759643555,59.08881759643555,6.117849693509925e-08,66.16024780273438
56.926788330078125,56.926788330078125,2.4391846764615366e-08,64.01041412353516
54.97077941894531,54.97077941894531,9.01652441598344e-09,62.05592346191406
53.19613265991211,53.19613265991211,4.2807539735179034e-09,60.27437210083008
51.58173370361328,51.58173370361328,3.4783553815032064e-09,58.64509201049805
50.10810089111328,50.10810089111328,2.8587279210512406e-09,57.149871826171875
48.75819778442383,48.75819778442383,1.6992420803774166e-09,55.773109436035156
47.51744079589844,47.51744079589844,7.358308407034997e-10,54.50124740600586
46.37319564819336,46.37319564819336,2.367417095694435e-10,53.32258987426758
45.314579010009766,45.314579010009766,5.526879648387606e-11,52.22703552246094
44.33221435546875,44.33221435546875,1.0498798878877391e-11,51.20589065551758
43.41801071166992,43.41801071166992,1.2829824876103846e-11,50.25208282470703
42.565425872802734,42.565425872802734,1.411409739082714e-10,49.358863830566406
41.76819610595703,41.76819610595703,4.288655264250707e-10,48.51904296875
41.01968765258789,41.01968765258789,4.425183552925205e-10,47.727294921875
40.31503677368164,40.31503677368164,3.0639410453225935e-10,46.97909164428711
39.65006637573242,39.65006637573242,1.593634113561393e-10,46.270267486572266
39.02094650268555,39.02094650268555,6.17809622904808e-11,45.597049713134766
38.424224853515625,38.424224853515625,1.3427779721464361e-11,44.955570220947266
37.85639572143555,37.85639572143555,2.5562661796346697e-12,44.34246826171875
37.31438446044922,37.31438446044922,9.000611670903491e-13,43.754966735839844
36.79566192626953,36.79566192626953,5.828665458271209e-13,43.19058609008789
36.29798889160156,36.29798889160156,4.764454347543079e-13,42.64710998535156
35.81934356689453,35.81934356689453,3.694732508222748e-13,42.12256622314453
35.35795593261719,35.35795593261719,2.6014368610660643e-13,41.61526107788086
34.91227340698242,34.91227340698242,1.750655420325667e-13,41.12373352050781
34.48097229003906,34.48097229003906,1.1767797565391536e-13,40.64668655395508
34.062896728515625,34.062896728515625,8.082362632898937e-14,40.18301773071289
33.657047271728516,33.657047271728516,5.720320457548375e-14,39.73176956176758
33.262542724609375,33.262542724609375,4.1762691801961946e-14,39.29209518432617
32.878631591796875,32.878631591796875,3.1380205779783094e-14,38.86323928833008
32.50462341308594,32.50462341308594,2.418683607346636e-14,38.44456481933594
32.139930725097656,32.139930725097656,1.9058393779152263e-14,38.03546142578125
31.784027099609375,31.784027099609375,1.5305490639531787e-14,37.63542556762695
31.436429977416992,31.436429977416992,1.2495093765815379e-14,37.24397659301758
