339.35,354.79
339.73,354.79
340.11,354.79
340.49,352.53
340.87,287.00
341.25,316.38
341.63,320.90
342.01,332.19
342.39,354.79
342.76,309.60
343.14,366.09
343.52,409.03
343.90,472.30
344.28,386.43
344.66,447.45
345.04,587.56
345.41,517.50
345.79,458.74
346.17,474.56
346.55,535.58
346.93,497.16
347.30,637.27
347.68,788.68
348.06,671.17
348.44,589.82
348.82,659.87
349.20,677.95
349.57,675.69
349.95,788.68
350.33,650.83
350.71,639.53
351.08,709.59
351.46,675.69
351.84,635.01
352.22,718.63
352.60,682.47
352.97,711.85
353.35,741.22
353.73,664.39
354.11,603.37
354.48,659.87
354.86,698.29
355.24,655.35
355.62,738.96
355.99,698.29
356.37,646.31
356.75,736.70
357.13,700.55
357.50,671.17
357.88,752.52
358.26,711.85
358.63,664.39
359.01,653.09
359.39,657.61
359.76,680.21
360.14,734.44
360.52,662.13
360.90,743.48
361.27,718.63
361.65,637.27
362.03,673.43
362.40,632.75
362.78,671.17
363.16,736.70
363.53,763.82
363.91,734.44
364.29,659.87
364.66,677.95
365.04,677.95
365.41,705.07
365.79,680.21
366.17,691.51
366.54,653.09
366.92,702.81
367.30,668.91
367.67,684.73
368.05,682.47
368.42,705.07
368.80,725.40
369.18,759.30
369.55,689.25
369.93,705.07
370.30,709.59
370.68,922.01
371.06,689.25
371.43,745.74
371.81,666.65
372.18,714.11
372.56,641.79
372.93,716.37
373.31,729.92
373.69,698.29
374.06,741.22
374.44,675.69
374.81,686.99
375.19,668.91
375.56,707.33
375.94,702.81
376.31,691.51
376.69,711.85
377.06,720.88
377.44,680.21
377.81,659.87
378.19,696.03
378.56,705.07
378.94,653.09
379.31,662.13
379.69,732.18
380.06,748.00
380.44,718.63
380.81,696.03
381.19,748.00
381.56,664.39
381.94,673.43
382.31,743.48
382.69,675.69
383.06,657.61
383.44,711.85
383.81,689.25
384.19,707.33
384.56,657.61
384.93,664.39
385.31,754.78
385.68,671.17
386.06,741.22
386.43,621.45
386.81,727.66
387.18,641.79
387.55,630.49
387.93,727.66
388.30,707.33
388.68,684.73
389.05,716.37
389.42,700.55
389.80,677.95
390.17,711.85
390.55,641.79
390.92,761.56
391.29,705.07
391.67,711.85
392.04,677.95
392.41,630.49
392.79,659.87
393.16,752.52
393.54,693.77
393.91,677.95
394.28,689.25
394.66,675.69
395.03,653.09
395.40,705.07
395.78,725.40
396.15,648.57
396.52,779.64
396.90,696.03
397.27,657.61
397.64,666.65
398.01,655.35
398.39,738.96
398.76,1127.65
399.13,716.37
399.51,682.47
399.88,691.51
400.25,691.51
400.62,648.57
401.00,781.90
401.37,716.37
401.74,689.25
402.12,729.92
402.49,748.00
402.86,621.45
403.23,709.59
403.61,714.11
403.98,813.54
404.35,659.87
404.72,705.07
405.10,770.60
405.47,723.14
405.84,790.94
406.21,693.77
406.58,714.11
406.96,641.79
407.33,680.21
407.70,729.92
408.07,743.48
408.44,698.29
408.82,684.73
409.19,716.37
409.56,677.95
409.93,677.95
410.30,698.29
410.68,698.29
411.05,623.71
411.42,718.63
411.79,666.65
412.16,689.25
412.53,655.35
412.90,684.73
413.28,675.69
413.65,655.35
414.02,659.87
414.39,702.81
414.76,718.63
