property_name,rank,group,feature_selection,fs_param,model,dataset_tag,best_param_json
a*,50,selected,pca,200,pcr,a_/SELECTED_20260508_093715,"{""n_components"": 7}"
a*,51,selected,pca,200,svr,a_/SELECTED_20260508_093715,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,52,selected,pca,200,rf,a_/SELECTED_20260508_093715,"{""min_samples_leaf"": 5, ""n_estimators"": 100}"
a*,53,selected,pca,200,gpr,a_/SELECTED_20260508_093715,"{""kernel"": ""matern32""}"
a*,54,selected,pca,200,knn,a_/SELECTED_20260508_093715,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,55,selected,pca,200,cnn,a_/SELECTED_20260508_093715,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""max_iter"": 1000}"
a*,56,selected,pca,200,xgb,a_/SELECTED_20260508_093715,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,57,selected,corr_topk,20,pls,a_/SELECTED_20260508_100251,"{""cv_fold"": 10, ""n_components"": 2}"
a*,58,selected,corr_topk,20,pcr,a_/SELECTED_20260508_100251,"{""n_components"": 2}"
a*,59,selected,corr_topk,20,svr,a_/SELECTED_20260508_100251,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
a*,60,selected,corr_topk,20,rf,a_/SELECTED_20260508_100251,"{""min_samples_leaf"": 10, ""n_estimators"": 200}"
a*,61,selected,corr_topk,20,gpr,a_/SELECTED_20260508_100251,"{""kernel"": ""squaredexponential""}"
a*,62,selected,corr_topk,20,knn,a_/SELECTED_20260508_100251,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}"
a*,63,selected,corr_topk,20,cnn,a_/SELECTED_20260508_100251,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,64,selected,corr_topk,20,xgb,a_/SELECTED_20260508_100251,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,65,selected,corr_topk,40,pls,a_/SELECTED_20260508_102659,"{""cv_fold"": 10, ""n_components"": 2}"
a*,66,selected,corr_topk,40,pcr,a_/SELECTED_20260508_102659,"{""n_components"": 2}"
a*,67,selected,corr_topk,40,svr,a_/SELECTED_20260508_102659,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
a*,68,selected,corr_topk,40,rf,a_/SELECTED_20260508_102659,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
