target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,381,25,230,235,329,227,97,242,167,196,124,38,108,184,218,83
10,1808,119,1183,1231,1475,1011,384,2265,505,588,527,101,434,800,1076,594
11,1690,93,975,1019,1290,936,335,1846,406,457,438,101,366,667,949,466
1112,1944,125,1241,1285,1494,1112,424,2505,520,622,552,137,458,833,1172,632
13,1708,93,1015,1027,1315,957,345,1871,419,505,454,89,376,688,951,462
14,1944,126,1232,1279,1541,1106,438,2388,507,583,570,131,467,862,1174,657
15,1669,81,908,958,1295,872,313,1774,378,431,413,93,344,624,891,411
16,1824,113,1146,1168,1424,1007,397,2134,478,571,516,118,429,786,1086,573
17,1614,83,899,947,1237,843,308,1647,375,460,397,97,338,606,878,380
18,1790,106,1094,1109,1386,957,379,2055,453,544,492,105,413,752,1043,522
19,1596,81,869,917,1205,836,298,1656,362,424,386,100,326,595,848,377
1,1704,35,969,1013,1324,922,337,296,173,192,152,63,368,679,933,108
20,1814,117,1184,1222,1430,1055,422,2205,486,572,540,106,451,827,1114,582
2,1781,84,962,244,1449,889,335,1999,456,533,450,39,364,691,889,477
3,1824,101,1058,1114,1399,1005,368,2053,442,528,489,90,400,739,1029,535
4,1880,110,1133,1217,1533,1047,398,2298,523,620,526,66,421,809,1029,609
5,1839,105,1101,1154,1426,1036,379,2127,462,537,500,80,414,758,1073,544
6,1945,117,1181,1224,1520,1058,415,2320,519,625,546,83,438,805,1131,602
7,1884,117,1153,1210,1458,1075,399,2236,484,572,529,91,429,794,1124,599
8,1846,107,1089,1152,1431,989,384,2124,466,549,496,95,415,782,1034,566
9,1782,104,1069,1119,1352,1025,366,1971,446,541,476,93,398,720,1035,510
»ùÏß,348,20,217,223,323,217,99,244,174,198,127,51,109,186,205,85
